Date,Open,High,Low,Close,Adj Close**,Volume
"Feb 13, 2020",29436,29535,29346,29423,"29,423.31",291150000
"Feb 12, 2020",29407,29569,29407,29551,"29,551.42",309530000
"Feb 11, 2020",29391,29415,29210,29276,"29,276.34",279540000
"Feb 10, 2020",28996,29278,28996,29277,"29,276.82",250510000
"Feb 07, 2020",29287,29287,29057,29103,"29,102.51",252860000
"Feb 06, 2020",29389,29408,29247,29380,"29,379.77",263700000
"Feb 05, 2020",29049,29309,29001,29291,"29,290.85",357540000
"Feb 04, 2020",28697,28905,28697,28808,"28,807.63",332750000
"Feb 03, 2020",28320,28630,28320,28400,"28,399.81",307910000
"Jan 31, 2020",28813,28813,28170,28256,"28,256.03",403890000
"Jan 30, 2020",28640,28880,28490,28859,"28,859.44",326850000
"Jan 29, 2020",28821,28944,28728,28734,"28,734.45",302290000
"Jan 28, 2020",28594,28823,28576,28723,"28,722.85",330140000
"Jan 27, 2020",28542,28672,28440,28536,"28,535.80",337270000
"Jan 24, 2020",29230,29289,28843,28990,"28,989.73",380010000
"Jan 23, 2020",29111,29190,28967,29160,"29,160.09",307060000
"Jan 22, 2020",29264,29320,29172,29186,"29,186.27",283440000
"Jan 21, 2020",29269,29341,29146,29196,"29,196.04",320640000
"Jan 17, 2020",29313,29374,29290,29348,"29,348.10",321820000
"Jan 16, 2020",29132,29300,29132,29298,"29,297.64",252110000
"Jan 15, 2020",28902,29128,28897,29030,"29,030.22",260270000
"Jan 14, 2020",28896,29054,28872,28940,"28,939.67",287440000
"Jan 13, 2020",28869,28910,28819,28907,"28,907.05",249830000
"Jan 10, 2020",28978,29009,28789,28824,"28,823.77",237830000
"Jan 09, 2020",28852,28988,28844,28957,"28,956.90",275060000
"Jan 08, 2020",28556,28866,28523,28745,"28,745.09",291750000
"Jan 07, 2020",28639,28686,28565,28584,"28,583.68",258900000
"Jan 06, 2020",28466,28708,28419,28703,"28,703.38",252760000
"Jan 03, 2020",28553,28716,28500,28635,"28,634.88",239590000
"Jan 02, 2020",28639,28873,28628,28869,"28,868.80",251820000
"Dec 31, 2019",28415,28547,28376,28538,"28,538.44",193340000
"Dec 30, 2019",28655,28665,28429,28462,"28,462.14",181600000
"Dec 27, 2019",28675,28702,28609,28645,"28,645.26",182280000
"Dec 26, 2019",28539,28624,28535,28621,"28,621.39",155970000
"Dec 24, 2019",28573,28577,28503,28515,"28,515.45",86150000
"Dec 23, 2019",28492,28582,28492,28552,"28,551.53",223530000
"Dec 20, 2019",28609,28609,28446,28455,"28,455.09",603780000
"Dec 19, 2019",28278,28381,28278,28377,"28,376.96",262570000
"Dec 18, 2019",28291,28323,28239,28239,"28,239.28",289890000
"Dec 17, 2019",28222,28329,28221,28267,"28,267.16",286770000
